subgroup,fpir,fpir_lower_95,fpir_upper_95,fnir_rank1,fnir_rank1_lower_95,fnir_rank1_upper_95,fnir_rank5,fnir_rank5_lower_95,fnir_rank5_upper_95,tpir_rank1,tpir_rank1_lower_95,tpir_rank1_upper_95,tpir_rank5,tpir_rank5_lower_95,tpir_rank5_upper_95,mated_probe_coverage,mated_probe_coverage_lower_95,mated_probe_coverage_upper_95,non_mated_probe_coverage,non_mated_probe_coverage_lower_95,non_mated_probe_coverage_upper_95,scored_mated_probes,scored_non_mated_probes,intended_mated_probes,intended_non_mated_probes
asian_females,0.02564102564102564,0.002803942398489141,0.057688880969351375,0.125,0.050734536082474274,0.21884880668986142,0.125,0.050734536082474274,0.21884880668986142,0.875,0.7811511933101385,0.9492654639175256,0.875,0.7811511933101385,0.9492654639175256,0.96,0.9183417508417508,0.9921615384615384,0.936,0.8911223344556678,0.975525,120,351,125,375
asian_males,0.011267605633802818,0.0,0.027352844920286126,0.050420168067226934,0.009387674131546463,0.09620896902450293,0.050420168067226934,0.009387674131546463,0.09620896902450293,0.9495798319327731,0.9037910309754971,0.9906123258684535,0.9495798319327731,0.9037910309754971,0.9906123258684535,0.952,0.9130434782608695,0.9814069264069264,0.9466666666666667,0.9170436507936508,0.9718657219973009,119,355,125,375
black_females,0.0027624309392265192,0.0,0.00971242081465723,0.050420168067226934,0.013316013855582242,0.0996074380165289,0.050420168067226934,0.013316013855582242,0.0996074380165289,0.9495798319327731,0.9003925619834711,0.9866839861444178,0.9495798319327731,0.9003925619834711,0.9866839861444178,0.952,0.9142857142857143,0.9849145299145299,0.9653333333333334,0.9463333333333334,0.98304012345679,119,362,125,375
black_males,0.0,0.0,0.0,0.04761904761904767,0.008690719310188328,0.09707393662574938,0.04761904761904767,0.008690719310188328,0.09707393662574938,0.9523809523809523,0.9029260633742506,0.9913092806898116,0.9523809523809523,0.9029260633742506,0.9913092806898116,0.84,0.7417460317460317,0.9214285714285714,0.8986666666666666,0.8640938271604938,0.9333333333333333,105,337,125,375
indian_females,0.010958904109589041,0.0,0.036597880646960394,0.07438016528925617,0.01223220973782772,0.16186931348221664,0.07438016528925617,0.01223220973782772,0.16186931348221664,0.9256198347107438,0.8381306865177833,0.9877677902621722,0.9256198347107438,0.8381306865177833,0.9877677902621722,0.968,0.9263157894736842,1.0,0.9733333333333334,0.9485955710955711,0.9931666666666666,121,365,125,375
indian_males,0.00546448087431694,0.0,0.0143530869686939,0.05882352941176472,0.023986940656808134,0.0973016017473607,0.050420168067226934,0.01785059395678868,0.08713768115942032,0.9411764705882353,0.9026983982526393,0.9760130593431918,0.9495798319327731,0.9128623188405797,0.9821494060432113,0.952,0.9159935897435897,0.984,0.976,0.9602345679012345,0.9896153846153846,119,366,125,375
white_females,0.0,0.0,0.0,0.024793388429752095,0.0,0.05531345565749236,0.024793388429752095,0.0,0.05531345565749236,0.9752066115702479,0.9446865443425077,1.0,0.9752066115702479,0.9446865443425077,1.0,0.968,0.9363636363636364,0.9927314814814815,0.976,0.9585218253968254,0.9916666666666667,121,366,125,375
white_males,0.0,0.0,0.0,0.025423728813559365,0.0,0.06959459459459448,0.025423728813559365,0.0,0.06959459459459448,0.9745762711864406,0.9304054054054054,1.0,0.9745762711864406,0.9304054054054054,1.0,0.944,0.8565428571428572,1.0,0.9573333333333334,0.9276944444444445,0.9860416666666667,118,359,125,375
