pipeline,detector,recognition_model,embedding_dimensions,threshold,fpir,tpir_rank1,tpir_rank5,fnir_rank1,fnir_rank5,false_reviews_per_1000_non_mated,end_to_end_duplicate_detection_rate,gallery_enrolment_coverage,mated_extraction_coverage,non_mated_extraction_coverage,embedding_latency_mean_ms,embedding_latency_p95_ms,search_latency_mean_ms,search_latency_p95_ms,detector_file_size_mb,recognition_file_size_mb,status
opencv-sface-2021dec-yunet-2023mar,OpenCV YuNet 2023mar,OpenCV SFace 2021dec,128,0.477117869159,0.005246589716684155,0.9256900212314225,0.9256900212314225,0.07430997876857748,0.07430997876857748,5.246589716684155,0.872,0.99,0.942,0.953,0.9049427907530344,0.9942080068867654,0.9049427907530344,0.973291986156255,0.22,36.9,evaluated_non_commercial_academic_research
insightface-scrfd-arcface-buffalo_l,InsightFace SCRFD (det_10g),InsightFace ArcFace buffalo_l (w600k_r50),512,0.393957955447,0.0013391362571141614,0.9679679679679679,0.9679679679679679,0.03203203203203209,0.03203203203203209,1.3391362571141614,0.967,1.0,0.999,0.9956666666666667,1.0512431690622308,1.1914582719327882,1.0512431690622308,1.169447750726249,16.14,166.31,evaluated_non_commercial_academic_research
