experiment,protocol_file,total_pairs,scored_pairs,failure_rate,threshold,accuracy,precision,recall,f1,false_match_rate,false_non_match_rate,roc_auc,equal_error_rate,embedding_time_mean_ms,embedding_time_median_ms,embedding_time_p95_ms,gallery_size,duplicate_probe_count,unknown_probe_count,duplicate_detection_rate,false_duplicate_review_rate,rank1_identification_rate,true_duplicate_miss_rate,gallery_search_time_mean_ms,gallery_search_time_p95_ms
lfw_development,pairsDevTest.txt,1000,896,0.104,0.3630116835391414,0.9921875,1.0,0.9841628959276018,0.9920182440136829,0.0,0.01583710407239819,0.9966163015528136,0.013574660633484115,23.418015383879354,23.991958994884044,26.838841591961682,,,,,,,,,
lfw_final,pairs.txt,6000,5399,0.10016666666666667,0.3630116835391414,0.9909242452305983,0.998868778280543,0.9829313543599257,0.9908359827940901,0.0011094674556213018,0.017068645640074213,0.9975311776135952,0.007766272189349112,22.997997568051154,23.809999984223396,25.104231576551683,,,,,,,,,
cplfw,pairs_CPLFW.txt,6000,3515,0.4141666666666667,0.3630116835391414,0.9024182076813656,0.9772575250836121,0.8254237288135593,0.8949464012251148,0.019484240687679084,0.17457627118644067,0.9521088501448853,0.09774011299435026,23.198616634117254,23.410333029460162,25.879725208505988,,,,,,,,,
duplicate_gallery,,,,,,,,,,,,,,,,,986,1047,3080,0.9936305732484076,0.5255750085822176,0.9798301486199575,0.006369426751592355,4.978234882858472,5.43461250490509
