subgroup,fpir,fpir_lower_95,fpir_upper_95,fnir_rank1,fnir_rank1_lower_95,fnir_rank1_upper_95,fnir_rank5,fnir_rank5_lower_95,fnir_rank5_upper_95,tpir_rank1,tpir_rank1_lower_95,tpir_rank1_upper_95,tpir_rank5,tpir_rank5_lower_95,tpir_rank5_upper_95,mated_probe_coverage,mated_probe_coverage_lower_95,mated_probe_coverage_upper_95,non_mated_probe_coverage,non_mated_probe_coverage_lower_95,non_mated_probe_coverage_upper_95,scored_mated_probes,scored_non_mated_probes,intended_mated_probes,intended_non_mated_probes
asian_females,0.028409090909090908,0.01092896174863388,0.049132947976878616,0.19166666666666665,0.08870967741935487,0.3114754098360656,0.19166666666666665,0.08870967741935487,0.3114754098360656,0.8083333333333333,0.6885245901639344,0.9112903225806451,0.8083333333333333,0.6885245901639344,0.9112903225806451,0.96,0.92,0.992,0.9386666666666666,0.8906666666666667,0.976,120,352,125,375
asian_males,0.0028169014084507044,0.0,0.008645533141210375,0.07563025210084029,0.025210084033613467,0.134453781512605,0.07563025210084029,0.025210084033613467,0.134453781512605,0.9243697478991597,0.865546218487395,0.9747899159663865,0.9243697478991597,0.865546218487395,0.9747899159663865,0.952,0.92,0.984,0.9466666666666667,0.92,0.9733333333333334,119,355,125,375
black_females,0.005509641873278237,0.0,0.013850415512465374,0.050420168067226934,0.008620689655172376,0.09919421487603294,0.050420168067226934,0.008620689655172376,0.09919421487603294,0.9495798319327731,0.9008057851239669,0.9913793103448276,0.9495798319327731,0.9008057851239669,0.9913793103448276,0.952,0.92,0.984,0.968,0.952,0.984,119,363,125,375
black_males,0.0,0.0,0.0,0.06666666666666665,0.020618556701030966,0.11766042780748659,0.06666666666666665,0.020618556701030966,0.11766042780748659,0.9333333333333333,0.8823395721925134,0.979381443298969,0.9333333333333333,0.8823395721925134,0.979381443298969,0.84,0.744,0.92,0.8986666666666666,0.8639333333333333,0.936,105,337,125,375
indian_females,0.0136986301369863,0.0,0.03783783783783784,0.0826446280991735,0.008403361344537785,0.16809941718622912,0.0826446280991735,0.008403361344537785,0.16809941718622912,0.9173553719008265,0.8319005828137707,0.9915966386554622,0.9173553719008265,0.8319005828137707,0.9915966386554622,0.968,0.928,1.0,0.9733333333333334,0.9493333333333334,0.992,121,365,125,375
indian_males,0.00273224043715847,0.0,0.008287292817679558,0.05882352941176472,0.025000000000000022,0.09836065573770492,0.05882352941176472,0.025000000000000022,0.09836065573770492,0.9411764705882353,0.9016393442622951,0.975,0.9411764705882353,0.9016393442622951,0.975,0.952,0.92,0.984,0.976,0.96,0.9893333333333333,119,366,125,375
white_females,0.0,0.0,0.0,0.04958677685950408,0.008130081300813052,0.11016949152542377,0.04958677685950408,0.008130081300813052,0.11016949152542377,0.9504132231404959,0.8898305084745762,0.991869918699187,0.9504132231404959,0.8898305084745762,0.991869918699187,0.968,0.936,0.992,0.976,0.9546666666666667,0.992,121,366,125,375
white_males,0.0,0.0,0.0,0.025423728813559365,0.0,0.06837606837606836,0.025423728813559365,0.0,0.06837606837606836,0.9745762711864406,0.9316239316239316,1.0,0.9745762711864406,0.9316239316239316,1.0,0.944,0.856,1.0,0.9573333333333334,0.9253333333333333,0.984,118,359,125,375
